Speaker,Familiar_CSD,LC_Score,LC_sd,S_Score,S_sd,S_Cogn,S_Cogn_sd,S_personality,S_personality_sd,S_emotion
Dysarthria,No,5.3125,0.707106781186548,4.9,0.565685424949238,4.9375,0.972271824131503,4.75,0.117851130197754,5
Dysarthria,Yes,4.52083333333333,0.384900179459752,4.16666666666667,0.189296944860009,3.91666666666667,0.144337567297406,4.22222222222222,0.0962250448649342,4.44444444444445
HC,No,3.71875,0.942809041582061,3.65,0.0707106781186548,4,0.883883476483184,4,0.471404520791027,2.83333333333334
HC,Yes,5.1875,0.419435246403929,4.35,0.1,4.375,0.433012701892219,4.22222222222222,0.346944333244357,4.44444444444444
