Speaker,Gender,LC_Score,LC_sd,S_Score,S_sd,S_Cogn,S_Cogn_sd,S_personality,S_personality_sd,S_emotion
HC,Man,4.53125,1.29636243217533,4.025,0.601040764008566,4.75,0.176776695296637,4,0.471404520791027,3.08333333333334
HC,Woman,4.64583333333333,0.69388866648871,4.1,0.35,3.875,0.433012701892219,4.22222222222222,0.346944333244357,4.27777777777778
