Speaker,LC_Score,LC_sd,S_Score,S_sd,S_Cogn,S_Cogn_sd,S_personality,S_personality_sd,S_emotion,S_emotion_sd
Dysarthria,4.8375,0.570430210455232,4.46,0.509165984724039,4.325,0.74791376508258,4.43333333333333,0.302765035409748,4.66666666666667,0.540061724867322
HC,4.6,0.86218291272792,4.07,0.391471582621268,4.225,0.575543221661067,4.13333333333333,0.361324723144645,3.8,1.0434983894999
